Date,NASTRAN,Abaqus,Fluent,CFX,Sandybridge,Ivybridge,Ivybridge2,Haswell,Broadwell,Skylake,R5_Ivybridge,R5_Haswell2,R5_Broadwell,R5_Broadwell2,R5_Skylake,Cascadelake,Milan
2023-02-01 00:00:00,62,80,80,62,37,19,19,37,62,80,80,62,37,19,19,37,62
2023-02-01 01:00:00,62,80,80,62,37,19,19,37,62,80,80,62,37,19,19,37,62
2023-02-01 02:00:00,62,80,80,62,37,19,19,37,62,80,80,62,37,19,19,37,62
2023-02-01 03:00:00,62,80,80,62,37,19,19,37,62,80,80,62,37,19,19,37,62
2023-02-01 04:00:00,63,80,80,62,36,19,19,37,63,80,80,62,36,19,19,37,63
2023-02-01 05:00:00,63,80,80,62,36,19,19,37,63,80,80,62,36,19,19,37,63
2023-02-01 06:00:00,63,80,80,62,36,19,19,37,63,80,80,62,36,19,19,37,63
2023-02-01 07:00:00,63,81,80,62,36,18,19,37,63,81,80,62,36,18,19,37,63
2023-02-01 08:00:00,63,81,80,62,36,18,19,37,63,81,80,62,36,18,19,37,63
2023-02-01 09:00:00,63,81,80,61,36,18,19,38,63,81,80,61,36,18,19,38,63
2023-02-01 10:00:00,63,81,80,61,36,18,19,38,63,81,80,61,36,18,19,38,63
2023-02-01 11:00:00,63,81,80,61,36,18,19,38,63,81,80,61,36,18,19,38,63
2023-02-01 12:00:00,63,81,80,61,36,18,19,38,63,81,80,61,36,18,19,38,63
2023-02-01 13:00:00,63,81,80,61,36,18,19,38,63,81,80,61,36,18,19,38,63
2023-02-01 14:00:00,64,81,80,61,35,18,19,38,64,81,80,61,35,18,19,38,64
2023-02-01 15:00:00,64,81,80,61,35,18,19,38,64,81,80,61,35,18,19,38,64
2023-02-01 16:00:00,64,81,80,61,35,18,19,38,64,81,80,61,35,18,19,38,64
2023-02-01 17:00:00,64,81,80,61,35,18,19,38,64,81,80,61,35,18,19,38,64
2023-02-01 18:00:00,64,81,80,60,35,18,19,39,64,81,80,60,35,18,19,39,64
2023-02-01 19:00:00,64,81,79,60,35,18,20,39,64,81,79,60,35,18,20,39,64
2023-02-01 20:00:00,64,81,79,60,35,18,20,39,64,81,79,60,35,18,20,39,64
2023-02-01 21:00:00,64,81,79,60,35,18,20,39,64,81,79,60,35,18,20,39,64
2023-02-01 22:00:00,64,81,79,60,35,18,20,39,64,81,79,60,35,18,20,39,64
2023-02-01 23:00:00,65,81,79,60,34,18,20,39,65,81,79,60,34,18,20,39,65
2023-02-02 00:00:00,65,81,79,60,34,18,20,39,65,81,79,60,34,18,20,39,65
2023-02-02 01:00:00,65,81,79,60,34,18,20,39,65,81,79,60,34,18,20,39,65
2023-02-02 02:00:00,65,81,79,60,34,18,20,39,65,81,79,60,34,18,20,39,65
2023-02-02 03:00:00,65,81,79,59,34,18,20,40,65,81,79,59,34,18,20,40,65
2023-02-02 04:00:00,65,81,79,59,34,18,20,40,65,81,79,59,34,18,20,40,65
2023-02-02 05:00:00,65,81,79,59,34,18,20,40,65,81,79,59,34,18,20,40,65
2023-02-02 06:00:00,65,81,79,59,34,18,20,40,65,81,79,59,34,18,20,40,65
2023-02-02 07:00:00,65,81,79,59,34,18,20,40,65,81,79,59,34,18,20,40,65
2023-02-02 08:00:00,65,81,79,59,34,18,20,40,65,81,79,59,34,18,20,40,65
2023-02-02 09:00:00,66,82,79,59,33,17,20,40,66,82,79,59,33,17,20,40,66
2023-02-02 10:00:00,66,82,79,59,33,17,20,40,66,82,79,59,33,17,20,40,66
2023-02-02 11:00:00,66,82,79,59,33,17,20,40,66,82,79,59,33,17,20,40,66
2023-02-02 12:00:00,66,82,79,58,33,17,20,41,66,82,79,58,33,17,20,41,66
2023-02-02 13:00:00,66,82,78,58,33,17,21,41,66,82,78,58,33,17,21,41,66
2023-02-02 14:00:00,66,82,78,58,33,17,21,41,66,82,78,58,33,17,21,41,66
2023-02-02 15:00:00,66,82,78,58,33,17,21,41,66,82,78,58,33,17,21,41,66
2023-02-02 16:00:00,66,82,78,58,33,17,21,41,66,82,78,58,33,17,21,41,66
2023-02-02 17:00:00,66,82,78,58,33,17,21,41,66,82,78,58,33,17,21,41,66
2023-02-02 18:00:00,66,82,78,58,33,17,21,41,66,82,78,58,33,17,21,41,66
2023-02-02 19:00:00,67,82,78,58,32,17,21,41,67,82,78,58,32,17,21,41,67
2023-02-02 20:00:00,67,82,78,58,32,17,21,41,67,82,78,58,32,17,21,41,67
2023-02-02 21:00:00,67,82,78,57,32,17,21,42,67,82,78,57,32,17,21,42,67
2023-02-02 22:00:00,67,82,78,57,32,17,21,42,67,82,78,57,32,17,21,42,67
2023-02-02 23:00:00,67,82,78,57,32,17,21,42,67,82,78,57,32,17,21,42,67
2023-02-03 00:00:00,67,82,78,57,32,17,21,42,67,82,78,57,32,17,21,42,67
2023-02-03 01:00:00,67,82,78,57,32,17,21,42,67,82,78,57,32,17,21,42,67
2023-02-03 02:00:00,67,82,78,57,32,17,21,42,67,82,78,57,32,17,21,42,67
2023-02-03 03:00:00,67,82,78,57,32,17,21,42,67,82,78,57,32,17,21,42,67
2023-02-03 04:00:00,67,82,78,57,32,17,21,42,67,82,78,57,32,17,21,42,67
2023-02-03 05:00:00,68,82,78,57,31,17,21,42,68,82,78,57,31,17,21,42,68
2023-02-03 06:00:00,68,82,77,56,31,17,22,43,68,82,77,56,31,17,22,43,68
2023-02-03 07:00:00,68,82,77,56,31,17,22,43,68,82,77,56,31,17,22,43,68
2023-02-03 08:00:00,68,82,77,56,31,17,22,43,68,82,77,56,31,17,22,43,68
2023-02-03 09:00:00,68,82,77,56,31,17,22,43,68,82,77,56,31,17,22,43,68
2023-02-03 10:00:00,68,82,77,56,31,17,22,43,68,82,77,56,31,17,22,43,68
2023-02-03 11:00:00,68,82,77,56,31,17,22,43,68,82,77,56,31,17,22,43,68
2023-02-03 12:00:00,68,82,77,56,31,17,22,43,68,82,77,56,31,17,22,43,68
2023-02-03 13:00:00,68,82,77,56,31,17,22,43,68,82,77,56,31,17,22,43,68
